,Clusters,Neighborhood,Borough,Latitude,Longitude,Common Venue
70,2,Ditmas Park,Brooklyn,40.643675183340974,-73.96101312466779,Caribbean Restaurant
71,1,Dongan Hills,Staten Island,40.588672948199275,-74.09639905312521,Pizza Place
72,2,Douglaston,Queens,40.76684609790763,-73.7424982072733,Chinese Restaurant
73,0,Downtown,Brooklyn,40.69084402109802,-73.98346337431099,French Restaurant
74,1,Dumbo,Brooklyn,40.70317632822692,-73.9887528074504,Pizza Place
75,0,Dyker Heights,Brooklyn,40.619219457722636,-74.01931375636022,Italian Restaurant
76,2,East Elmhurst,Queens,40.76407323883091,-73.86704147658772,Pizza Place
77,3,East Flatbush,Brooklyn,40.64171776668961,-73.93610256185836,Caribbean Restaurant
78,2,East Harlem,Manhattan,40.79224946663033,-73.94418223148524,Pizza Place
79,2,East New York,Brooklyn,40.669925700847045,-73.88069863917366,Fast Food Restaurant
80,2,East Tremont,Bronx,40.84269615786053,-73.88735617532338,Pizza Place
81,0,East Village,Manhattan,40.727846777270244,-73.98222616506416,Italian Restaurant
82,2,East Williamsburg,Brooklyn,40.70849241041548,-73.93885815269195,Pizza Place
83,3,Eastchester,Bronx,40.887555677350775,-73.82780644716412,Caribbean Restaurant
84,3,Edenwald,Bronx,40.88456130303732,-73.84808271877168,Caribbean Restaurant
85,3,Edgemere,Queens,40.595641807368494,-73.77613282391705,Pizza Place
86,0,Edgewater Park,Bronx,40.821986118163494,-73.81388514428619,Italian Restaurant
87,0,Egbertville,Staten Island,40.579118742961214,-74.12727240604946,Italian Restaurant
88,2,Elm Park,Staten Island,40.630146741193826,-74.1418167896889,Chinese Restaurant
89,2,Elmhurst,Queens,40.744048505122024,-73.88165622288388,Thai Restaurant
90,1,Eltingville,Staten Island,40.542230747450745,-74.1643308041936,Pizza Place
